iter	RMSE
0	285.257661
1	269.8705095
2	255.7477569
3	242.2583718
4	229.7696365
5	218.1147001
6	207.4064266
7	197.5123092
8	188.2823272
9	179.7384992
10	171.7415083
11	164.4174036
12	157.8975194
13	151.8417796
14	146.0987547
15	141.0904671
16	136.4483716
17	132.2231503
18	128.5086553
19	124.8467659
20	121.6190687
21	118.806798
22	116.1751508
23	113.8896416
24	111.8154628
25	109.9135565
26	108.192818
27	106.693572
28	105.3063617
29	104.1301894
30	103.0307272
31	101.9806548
32	101.0819033
33	100.3372719
34	99.54295723
35	98.86603985
36	98.29457262
37	97.77282423
38	97.33824472
39	96.95737059
40	96.55365315
41	96.20024612
42	95.89031099
43	95.62522751
44	95.36524552
45	95.16354416
46	94.96068546
47	94.78843647
48	94.61272339
49	94.46422518
50	94.32126253
51	94.21861223
52	94.1314759
53	94.02170205
54	93.94028392
55	93.85338527
56	93.75925812
57	93.6972294
58	93.620158
59	93.5575985
60	93.51256503
61	93.4734448
62	93.43400072
63	93.39894044
64	93.36616457
65	93.34159595
66	93.31515188
67	93.28883928
68	93.25503592
69	93.2298756
70	93.21337665
71	93.19317074
72	93.17385001
73	93.15823061
74	93.1409359
75	93.12485102
76	93.11410593
77	93.09337017
78	93.07873156
79	93.06771467
80	93.0567271
81	93.04341826
82	93.04239875
83	93.02730563
84	93.02314803
85	93.01349039
86	93.00896658
87	93.00052164
88	92.99394403
89	92.98774539
90	92.98164048
91	92.97258269
92	92.96987742
93	92.96394892
94	92.958361
95	92.95446097
96	92.94775254
97	92.94248727
98	92.93770852
99	92.93359013
100	92.92816111
101	92.9264572
102	92.9234597
103	92.91640305
104	92.91305508
105	92.90491381
106	92.90100445
107	92.89590149
108	92.89332091
109	92.89100676
110	92.8859329
111	92.88238121
112	92.87656311
113	92.87111664
114	92.8684319
115	92.86105512
116	92.85799362
117	92.85508285
118	92.85347249
119	92.84497307
120	92.84273219
121	92.84105096
122	92.83939152
123	92.83464109
124	92.83450607
125	92.83225522
126	92.82896774
127	92.82769828
128	92.82518362
129	92.82414263
130	92.82243452
131	92.82062691
132	92.81950277
133	92.81927935
134	92.81778673
135	92.8160162
136	92.81573112
137	92.81337911
138	92.81189996
139	92.81134794
140	92.81026313
141	92.80938034
142	92.8049933
143	92.80285877
144	92.80109753
145	92.80004974
146	92.79676413
147	92.79467443
148	92.79439696
149	92.79184637
150	92.79075242
151	92.78995439
152	92.78864873
153	92.78591641
154	92.78433187
155	92.78256619
156	92.78088435
157	92.77905841
158	92.77798305
159	92.77627114
160	92.77513163
161	92.77222441
162	92.77027596
163	92.76721411
164	92.76532424
165	92.76449821
166	92.76331844
167	92.76104823
168	92.75875667
169	92.75651526
170	92.75474432
171	92.75229616
172	92.75185396
173	92.74985128
174	92.74731318
175	92.74481725
176	92.74376752
177	92.74229093
178	92.73979594
179	92.73759268
180	92.73592476
181	92.73344672
182	92.73131126
183	92.72961363
184	92.72902922
185	92.72705852
186	92.72596791
187	92.72522988
188	92.72378217
189	92.72279515
190	92.72131649
191	92.72067777
192	92.71923663
193	92.71797503
194	92.71580842
195	92.71459512
196	92.71394372
197	92.71262298
198	92.71174114
199	92.7099854
200	92.70868738
201	92.70798085
202	92.70702939
203	92.7061767
204	92.70503271
205	92.70389256
206	92.70262866
207	92.70197743
208	92.70100438
209	92.70015246
210	92.69906478
211	92.69835464
212	92.697769
213	92.69731306
214	92.69653972
215	92.69552862
216	92.6952018
217	92.69481824
218	92.69394797
219	92.69365624
220	92.69272971
221	92.69230307
222	92.69181742
223	92.69120002
224	92.69030527
225	92.68932861
226	92.68862086
227	92.68820832
228	92.68786721
229	92.68758659
230	92.68643496
231	92.68594888
232	92.68501789
233	92.68420079
234	92.68386482
235	92.68366202
236	92.68339132
237	92.68273964
238	92.68232126
239	92.68205881
240	92.68141174
241	92.68112977
242	92.68088982
243	92.68016923
244	92.67987859
245	92.67940299
246	92.67915853
247	92.6789737
248	92.67868871
249	92.67842048
250	92.67791405
251	92.67766414
252	92.67715842
253	92.67658979
254	92.67612689
255	92.67591903
256	92.67574028
257	92.67544478
258	92.67495221
259	92.67479516
260	92.6740057
261	92.67363473
262	92.67304736
263	92.67279173
264	92.67237515
265	92.67200936
266	92.67131748
267	92.67033472
268	92.66997898
269	92.66912163
270	92.66881208
271	92.66837466
272	92.66824542
273	92.66789437
274	92.66742649
275	92.66716947
276	92.6667593
277	92.66655285
278	92.66630665
279	92.66596045
280	92.66553849
281	92.66538689
282	92.665206
283	92.66483564
284	92.6646443
285	92.66444642
286	92.66419458
287	92.66382156
288	92.66347236
289	92.66332982
290	92.66309037
291	92.66284952
292	92.66269729
293	92.66205102
294	92.66189305
295	92.66170266
296	92.66159919
297	92.661228
298	92.66112637
299	92.66084426
300	92.66059413
301	92.66045098
302	92.66034401
303	92.6601194
304	92.65993669
305	92.65976126
306	92.65946435
307	92.65933328
308	92.65915665
309	92.65892853
310	92.65881496
311	92.65861426
312	92.65850117
313	92.65819207
314	92.65793485
315	92.65781905
316	92.65764718
317	92.65754662
318	92.65739099
319	92.65727332
320	92.65707287
321	92.65686723
322	92.65645903
323	92.65612059
324	92.6556142
325	92.65551721
326	92.65507166
327	92.65490595
328	92.65463867
329	92.65456791
330	92.65442682
331	92.65413
332	92.65399647
333	92.65393314
334	92.65369709
335	92.65354955
336	92.65339604
337	92.65326102
338	92.65318904
339	92.65293138
340	92.65285786
341	92.65281275
342	92.65267876
343	92.65262234
344	92.65251604
345	92.65238154
346	92.65229207
347	92.65221836
348	92.65215588
349	92.6520367
350	92.65192933
351	92.65181575
352	92.65172162
353	92.65162599
354	92.65157241
355	92.65136869
356	92.65131463
357	92.65125839
358	92.65115344
359	92.65105386
360	92.65097316
361	92.65090726
362	92.6508266
363	92.65069784
364	92.6505361
365	92.65044309
366	92.65038809
367	92.65030584
368	92.65012695
369	92.6500297
370	92.64994386
371	92.64982276
372	92.64977511
373	92.64972927
374	92.64954918
375	92.64950164
376	92.64941604
377	92.64934952
378	92.64929649
379	92.64921031
380	92.64890366
381	92.64883894
382	92.64873059
383	92.64865493
384	92.64854839
385	92.64834648
386	92.64832455
387	92.64827009
388	92.64820521
389	92.64816798
390	92.64807317
391	92.64799514
392	92.64794805
393	92.64790084
394	92.64786009
395	92.64766158
396	92.64762011
397	92.64755495
398	92.64737574
399	92.64728299
400	92.64718932
401	92.64696669
402	92.64679305
403	92.64673884
404	92.64658108
405	92.64654452
406	92.64646128
407	92.64628758
408	92.64615878
409	92.64608789
410	92.6460475
411	92.64599382
412	92.64593356
413	92.64585418
414	92.64575702
415	92.64569674
416	92.64563671
417	92.64552818
418	92.64548429
419	92.64539745
420	92.64534538
421	92.64530528
422	92.64521267
423	92.64517993
424	92.64516303
425	92.64514157
426	92.64507864
427	92.64503094
428	92.64500421
429	92.64495768
430	92.64483123
431	92.64468465
432	92.64462801
433	92.64459861
434	92.64454105
435	92.64446535
436	92.64438113
437	92.64428068
438	92.6442171
439	92.64416469
440	92.64412326
441	92.64395923
442	92.64388197
443	92.64384765
444	92.64380381
445	92.64365966
446	92.64364726
447	92.64353257
448	92.64339546
449	92.64333895
450	92.64329939
451	92.64323706
452	92.64319897
453	92.64308079
454	92.64296987
455	92.64293915
456	92.64288493
457	92.6428577
458	92.64282389
459	92.64279097
460	92.64276453
461	92.64273952
462	92.64264298
463	92.64255233
464	92.64246575
465	92.64243466
466	92.64239754
467	92.64237056
468	92.64233817
469	92.64229164
470	92.64226689
