iter	Passed	Remaining
0	4	4018
1	7	3814
2	11	3682
3	14	3649
4	18	3608
5	21	3566
6	24	3545
7	28	3588
8	33	3684
9	38	3812
10	42	3782
11	45	3750
12	49	3728
13	52	3703
14	56	3686
15	59	3680
16	63	3667
17	66	3653
18	70	3633
19	73	3623
20	77	3609
21	80	3599
22	84	3584
23	87	3571
24	91	3567
25	95	3562
26	98	3558
27	102	3548
28	105	3540
29	109	3526
30	112	3518
31	116	3513
32	120	3517
33	123	3511
34	127	3505
35	130	3501
36	134	3502
37	138	3502
38	141	3492
39	145	3481
40	148	3480
41	152	3475
42	155	3468
43	159	3459
44	162	3453
45	166	3447
46	169	3441
47	173	3436
48	176	3430
49	180	3424
50	183	3419
51	187	3414
52	190	3408
53	194	3405
54	197	3399
55	201	3395
56	205	3391
57	208	3387
58	212	3381
59	215	3378
60	219	3372
61	222	3365
62	225	3361
63	229	3356
64	232	3351
65	236	3346
66	239	3341
67	243	3337
68	247	3333
69	250	3328
70	253	3322
71	257	3319
72	260	3314
73	264	3309
74	267	3303
75	271	3300
76	275	3297
77	278	3294
78	282	3288
79	285	3283
80	289	3279
81	293	3285
82	296	3273
83	299	3270
84	302	3257
85	306	3254
86	309	3250
87	313	3245
88	316	3240
89	320	3235
90	323	3231
91	326	3226
92	330	3222
93	333	3217
94	337	3213
95	340	3208
96	344	3204
97	347	3199
98	350	3193
99	354	3192
100	358	3187
101	361	3185
102	365	3179
103	368	3176
104	372	3171
105	375	3169
106	379	3166
107	382	3161
108	386	3157
109	389	3155
110	393	3150
111	396	3146
112	400	3146
113	404	3146
114	408	3145
115	412	3141
116	415	3137
117	419	3132
118	422	3127
119	425	3122
120	429	3117
121	432	3113
122	436	3109
123	439	3104
124	441	3093
125	445	3087
126	448	3084
127	452	3079
128	455	3074
129	458	3070
130	461	3064
131	465	3059
132	468	3051
133	470	3042
134	473	3037
135	477	3031
136	480	3026
137	483	3022
138	487	3017
139	490	3012
140	493	3008
141	496	3001
142	500	2996
143	503	2992
144	506	2988
145	510	2985
146	513	2981
147	517	2977
148	520	2970
149	523	2965
150	526	2962
151	530	2957
152	533	2953
153	537	2950
154	540	2946
155	543	2941
156	547	2937
157	550	2932
158	553	2927
159	557	2924
160	560	2919
161	563	2915
162	566	2911
163	570	2908
164	573	2903
165	577	2899
166	580	2895
167	584	2892
168	587	2888
169	590	2884
170	594	2880
171	597	2876
172	602	2879
173	605	2876
174	609	2871
175	612	2867
176	615	2863
177	619	2859
178	622	2856
179	626	2852
180	629	2848
181	632	2844
182	636	2840
183	639	2836
184	643	2833
185	647	2835
186	652	2835
187	655	2831
188	658	2827
189	662	2823
190	665	2819
191	668	2815
192	672	2811
193	675	2807
194	679	2804
195	682	2799
196	685	2795
197	689	2793
198	692	2788
199	696	2784
200	699	2780
201	702	2776
202	706	2772
203	709	2768
204	712	2764
205	716	2760
206	720	2758
207	723	2755
208	726	2751
209	730	2747
210	733	2743
211	737	2740
212	740	2735
213	743	2731
214	747	2727
215	750	2724
216	753	2720
217	757	2716
218	760	2713
219	764	2709
220	767	2706
221	771	2702
222	774	2698
223	777	2694
224	781	2691
225	784	2687
226	788	2683
227	791	2679
228	795	2676
229	798	2673
230	802	2670
231	805	2666
232	808	2662
233	812	2658
234	816	2658
235	819	2654
236	823	2650
237	826	2647
238	830	2643
239	833	2639
240	836	2635
241	840	2633
242	844	2629
243	847	2625
244	850	2621
245	854	2617
246	857	2613
247	860	2609
248	863	2605
249	867	2601
250	870	2598
251	873	2594
252	877	2590
253	880	2586
254	884	2582
255	887	2578
256	890	2574
257	894	2571
258	897	2568
259	901	2564
260	904	2560
261	907	2556
262	910	2552
263	914	2549
264	917	2545
265	921	2541
266	924	2538
267	927	2533
268	931	2530
269	934	2527
270	937	2523
271	941	2519
272	944	2515
273	947	2511
274	951	2507
275	954	2503
276	957	2499
277	961	2496
278	967	2499
279	970	2496
280	974	2492
281	977	2489
282	980	2485
283	984	2481
284	987	2477
285	991	2475
286	994	2471
287	998	2467
288	1001	2463
289	1004	2459
290	1007	2455
291	1011	2451
292	1014	2448
293	1017	2444
294	1021	2440
295	1024	2437
296	1028	2433
297	1031	2430
298	1034	2426
299	1038	2422
300	1041	2418
301	1044	2414
302	1048	2411
303	1051	2408
304	1055	2404
305	1058	2400
306	1061	2396
307	1065	2392
308	1068	2389
309	1071	2385
310	1075	2381
311	1078	2377
312	1081	2374
313	1085	2371
314	1088	2367
315	1092	2363
316	1095	2360
317	1099	2357
318	1102	2353
319	1105	2349
320	1108	2345
321	1112	2343
322	1116	2339
323	1119	2336
324	1123	2332
325	1126	2329
326	1129	2325
327	1134	2323
328	1137	2320
329	1141	2317
330	1144	2313
331	1148	2310
332	1151	2306
333	1154	2303
334	1158	2299
335	1161	2295
336	1164	2291
337	1168	2288
338	1172	2285
339	1175	2281
340	1178	2278
341	1182	2274
342	1185	2271
343	1189	2267
344	1192	2263
345	1195	2260
346	1199	2256
347	1202	2252
348	1205	2249
349	1208	2245
350	1212	2241
351	1215	2237
352	1219	2234
353	1222	2230
354	1225	2227
355	1229	2223
356	1232	2220
357	1235	2216
358	1239	2212
359	1242	2208
360	1245	2205
361	1249	2201
362	1252	2197
363	1255	2193
364	1258	2190
365	1262	2186
366	1265	2182
367	1268	2178
368	1271	2174
369	1276	2174
